DATE,DGS10
1/1/07,4.75952381
2/1/07,4.722631579
3/1/07,4.564545455
4/1/07,4.693809524
5/1/07,4.746363636
6/1/07,5.102857143
7/1/07,5.004285714
8/1/07,4.674782609
9/1/07,4.521578947
10/1/07,4.527727273
11/1/07,4.1485
12/1/07,4.0975
1/1/08,3.744285714
2/1/08,3.7375
3/1/08,3.51
4/1/08,3.675
5/1/08,3.88
6/1/08,4.09952381
7/1/08,4.007727273
8/1/08,3.885714286
9/1/08,3.686190476
10/1/08,3.814090909
11/1/08,3.526666667
12/1/08,2.416363636
1/1/09,2.5175
2/1/09,2.87
3/1/09,2.819545455
4/1/09,2.927142857
5/1/09,3.293
6/1/09,3.721818182
7/1/09,3.562272727
8/1/09,3.587142857
9/1/09,3.401904762
10/1/09,3.387619048
11/1/09,3.402631579
12/1/09,3.59
1/1/10,3.733157895
2/1/10,3.691052632
3/1/10,3.727391304
4/1/10,3.846818182
5/1/10,3.42
6/1/10,3.204090909
7/1/10,3.011428571
8/1/10,2.698636364
9/1/10,2.647619048
10/1/10,2.54
11/1/10,2.763
12/1/10,3.290909091
1/1/11,3.394
2/1/11,3.576315789
3/1/11,3.414347826
4/1/11,3.455
5/1/11,3.168571429
6/1/11,3.002272727
7/1/11,3.003
8/1/11,2.303043478
9/1/11,1.975238095
10/1/11,2.152
11/1/11,2.0135
12/1/11,1.978095238
1/1/12,1.9665
2/1/12,1.9675
3/1/12,2.172727273
4/1/12,2.052857143
5/1/12,1.803181818
6/1/12,1.622380952
7/1/12,1.526666667
8/1/12,1.67826087
9/1/12,1.723157895
10/1/12,1.746190476
11/1/12,1.654
12/1/12,1.719
1/1/13,1.914761905
2/1/13,1.984210526
3/1/13,1.9575
4/1/13,1.759090909
5/1/13,1.928181818
6/1/13,2.3
7/1/13,2.582272727
8/1/13,2.737272727
9/1/13,2.8095
10/1/13,2.615909091
11/1/13,2.718421053
12/1/13,2.901904762
1/1/14,2.858095238
2/1/14,2.709473684
3/1/14,2.723333333
4/1/14,2.705238095
5/1/14,2.559047619
6/1/14,2.598571429
7/1/14,2.542272727
8/1/14,2.42
9/1/14,2.534285714
10/1/14,2.304090909
11/1/14,2.325555556
12/1/14,2.207272727
1/1/15,1.8815
2/1/15,1.975263158
3/1/15,2.042727273
4/1/15,1.935
5/1/15,2.1975
6/1/15,2.363636364
7/1/15,2.324545455
8/1/15,2.167142857
9/1/15,2.172857143
10/1/15,2.07
11/1/15,2.263157895
12/1/15,2.242727273
1/1/16,2.085263158
2/1/16,1.7795
3/1/16,1.889090909
4/1/16,1.805238095
5/1/16,1.806190476
6/1/16,1.644090909
7/1/16,1.504
8/1/16,1.556521739
9/1/16,1.63047619
10/1/16,1.7645
11/1/16,2.142
12/1/16,2.491904762
1/1/17,2.4325
2/1/17,2.418947368
3/1/17,2.48173913
4/1/17,2.297368421
5/1/17,2.303636364
6/1/17,2.186818182
7/1/17,2.318
8/1/17,2.209130435
9/1/17,2.202
10/1/17,2.36
11/1/17,2.353333333
12/1/17,2.4025
1/1/18,2.583809524
2/1/18,2.858947368
3/1/18,2.842380952
4/1/18,2.869047619
5/1/18,2.977727273
6/1/18,2.912380952
7/1/18,2.889047619
8/1/18,2.889130435
