Date,Mkt-RF,SMB,HML,RMW,CMA,RF
200701,1.4,0.08,-0.11,0.23,0.23,0.44
200702,-1.96,1.4,-0.09,-0.46,-0.75,0.38
200703,0.68,0.06,-0.22,0.27,-0.61,0.43
200704,3.49,-2.02,-1.15,1.01,1.01,0.44
200705,3.24,0.29,-0.05,1.14,-1.3,0.41
200706,-1.96,0.76,-1.13,0.55,0.07,0.4
200707,-3.73,-2.88,-3.34,0.6,-1.04,0.4
200708,0.92,-0.34,-2.24,-0.9,-0.55,0.42
200709,3.22,-2.42,-1.87,-0.56,-3.17,0.32
200710,1.8,0.03,-2.59,-0.31,-0.1,0.32
200711,-4.83,-2.82,-1.18,1.9,-0.33,0.34
200712,-0.87,0.17,-0.52,0.71,-1.09,0.27
200801,-6.36,-0.51,3.65,1.96,2.2,0.21
200802,-3.09,-0.52,-0.95,0.74,-1.07,0.13
200803,-0.93,0.74,-0.15,1.11,0.47,0.17
200804,4.6,-1.15,-0.96,1.29,-2.56,0.18
200805,1.86,3.21,-1.38,0.81,0.04,0.18
200806,-8.44,1.14,-2.43,4.31,-0.42,0.17
200807,-0.77,3.67,5.81,-0.99,1.06,0.15
200808,1.53,3.42,1.56,1.84,0.82,0.13
200809,-9.24,0.38,6.33,2.91,1.82,0.15
200810,-17.23,-3.22,-2.9,3.61,1.89,0.08
200811,-7.86,-3.89,-5.94,4.82,2.72,0.03
200812,1.74,3.36,-0.24,-0.07,-1.41,0
200901,-8.12,-2.06,-11.1,0.26,-1.19,0
200902,-10.1,-1.19,-7.25,1.72,-1.11,0.01
200903,8.95,0.66,3.52,-2.3,-2.25,0.02
200904,10.19,6.73,5.46,0.28,0.14,0.01
200905,5.21,-2.33,-0.21,-0.99,-2.12,0
200906,0.43,2.32,-2.71,-1.07,-0.16,0.01
200907,7.72,2.43,5.27,-0.65,3.21,0.01
200908,3.33,-0.04,7.76,-3.04,3.2,0.01
200909,4.08,2.74,0.92,1.49,0.4,0.01
200910,-2.59,-4.78,-4.18,4.2,-1.68,0
200911,5.56,-2.79,-0.17,0.81,0.15,0
200912,2.75,6.22,0.01,0.44,-0.08,0.01
201001,-3.36,0.3,0.31,-1.37,0.43,0
201002,3.4,1.46,3.17,-0.35,1.41,0
201003,6.31,1.78,2.1,-0.56,1.69,0.01
201004,2,5.05,2.81,1.05,1.72,0.01
201005,-7.89,0.06,-2.38,1.37,-0.22,0.01
201006,-5.56,-2.5,-4.5,-0.21,-1.52,0.01
201007,6.93,0.09,-0.26,0.23,1.99,0.01
201008,-4.77,-3.12,-1.96,0.61,-1.7,0.01
201009,9.54,3.73,-3.12,-0.16,0.48,0.01
201010,3.88,0.79,-2.59,1.34,-0.23,0.01
201011,0.6,3.6,-0.9,0.29,1.63,0.01
201012,6.82,0.97,3.82,-3.66,3.23,0.01
201101,1.99,-2.4,0.83,-0.81,0.7,0.01
201102,3.49,1.63,1.08,-1.92,0.94,0.01
201103,0.45,2.66,-1.57,1.55,-0.03,0.01
201104,2.9,-0.52,-2.53,1.1,-0.85,0
201105,-1.27,-0.7,-2.07,1.99,-1.5,0
201106,-1.75,0.1,-0.33,2.38,-1.46,0
201107,-2.36,-1.29,-1.23,2.41,-1.82,0
201108,-5.99,-3.21,-2.44,3.2,-0.23,0.01
201109,-7.59,-3.74,-1.46,1.89,0.23,0
201110,11.35,3.56,-0.17,-1.92,-0.85,0
201111,-0.28,-0.27,-0.34,1.78,1.52,0
201112,0.74,-0.45,1.75,0.77,2.39,0
201201,5.05,2.15,-1.11,-1.82,-1.38,0
201202,4.42,-1.63,0.09,-0.19,-0.08,0
201203,3.11,-0.45,0.87,-0.39,0.79,0
201204,-0.85,-0.59,-0.46,1.11,0.65,0
